4751	make endear name like nigger spook amp monkey	@StephDaMARTIAN they made up endearing names for us like nigger spook &amp; monkey	offensive_language
795	fuc nica	#UMightNotGetIn &#128514;&#128514;&#128514; fucc nicca #BeerandTacOS #WeTheLastOnesLeft http://t.co/45FV79CV0z	offensive_language
3484	ey pushin one I bro caus know bitch well blow hah	@ImEthan_Gregory eyy that pushin one for me bro cause you know that bitch better blow hah	offensive_language
14338	pont get ta trash	RT @BeardedNixon: Poont gotta be trash	neither
20154	thi bitch wit babi ask I switch seat famili could togeth I say bitch famili togeth	"RT @thecoreyholcomb: This bitch wit a baby ask me to switch seats so the family could be together. I said ""bitch my family wasn't together?&#8230;"	offensive_language
20459	rayci bitch michel obama african american vote democrat via	Raaaayciss bitch &#8220;@Sky_Max: Michelle Obama: African-Americans Should Vote for Democrats http://t.co/SL6TW6P39f via @Newsmax_Media&#8221;	offensive_language
1739	think alex win game sorri son bitch never win game	"&#8220;@dablueprint: @NigelDixon1 Just think if Alex won some games!&#8221; That sorry son of a bitch will never ""win"" us a game"	offensive_language
1094	fuck pussi	&#8220;@Adrianmayer99: Fucking pussy&#8221; @JosephNoonan2	offensive_language
10380	I get bitch ass cowork I stay late everi day last week I complain mf stay late send email I leav	I got some bitch ass coworkers. I stay late every day last week I don't complain about them mfs. They stay late they send emails that I left	offensive_language
19856	I hate dumb bitch	RT @prettychels__: I hate a dumb bitch.	offensive_language
317	I hoe I hoe sh	"""@cheetahBluntz_: Its me hoe, its me hoe&#128129;"" shhhhh"	offensive_language
18146	win final score	RT @Yankees: #Yankees win! Final score: 7-4.	neither
14588	naw bs tho u let say u get like bodi u def hoe lol debat	RT @Cam_Major: naw no bs tho...if u under lets say 20 and u got like 15 bodies...u def a hoe lol. theres no debating that.	offensive_language
1313	honesti I ask ugli hoe	&#8220;@IIXIXIII: Honesty is all I ask for&#8221; you ugly then a hoe then	offensive_language
6566	nah would probabl call obsess faggot also nice tri though	@lexhound @discordianslip @87pest Nah, they would probably call you out for being the obsessed faggot you are also. Nice try though.	offensive_language
12862	mississippi state fan good mock easi poor state hard get win top oppon	Mississippi state fans are the best to just mock. It's so easy. Poor state. It's hard getting wins against top 25 opponents. #FailState	neither
19644	I realli get excit see bad bitch associ lunch everyday alway make I laugh	RT @maya_hampton: i really do get excited to see my bad bitch association in lunch everyday they always make me laugh	offensive_language
11262	I fine af hoe	I'm fine af in that hoe	offensive_language
2321	pussi	@1stBlock_Rody pussy	offensive_language
3557	niger	@JOLTNG niger	hate_speech
22191	time panera bitch	Time for some panera bitch!!!&#127861;&#10071;	offensive_language
13777	peac friend onli peac I enemi nt say word look facebok wall one good friend ever moor	Peace my friend..Only Peace..I am not your enemy..Dont say that word again..Look at my Facebook wall..One of my best friends ever was a Moor	neither
14066	black american bad bho well research articl bind elicit cri uncl tom	RT @AG2Pearl: Black Americans Are Worse Off Under BHO http://t.co/k4IwEugNyx Well researched article...bound to elicit cries of Uncle Tom &#8230;	neither
20554	I see walk I think hoe	Rt &#8220;@princessalyssxo: When I see you walk up I think hoe&#8221;	offensive_language
15864	loyal pussi good pussi cu u know	RT @JosephTheFlyGuy: Loyal pussy is best pussy . Cus u know that's all yours .	offensive_language
10650	I let em go u get two hoe u need let one go	I let all of em go...&#128586; RT @Peachpapayya: If u got two hoes u need to let one go	offensive_language
6361	holi fuck thank I hate bitch fuck ex boyfriend back back like damn call peac pipe	@kay_reneaa holy fuck thank you. I hate bitches that just fuck their ex then their boyfriend then back to back like damn Call you peace pipe	offensive_language
14203	I sure thi tweet protect karmic payback bitch	RT @AnthonyBialy: .@SenatorReid I'm sure this tweet will protect you from karmic payback, bitch.	offensive_language
18952	never leav hip hop fan turn hoe liter ratchet broad pretend like bask	RT @efromthelost: @ObieOneHHH #doggpound never left hip hop fans just turned into hoes. Literally ratchet broads that pretend to like baske&#8230;	offensive_language
21006	social network ruin bitch game	Social networks will ruin a bitches game.	offensive_language
23898	anyon notic alien flaw retard crash land earth mean nt know drive	has anyone noticed that aliens have flaws too, some of those retards have crash landed on earth? means they dont know how to drive	offensive_language
